phase,status,reason,disabled_count,loaded_mods,block_atlas,emi_reload_ms,rss_mib,anonymous_mib,hist_total_mib,heap_total_mib,heap_used_mib,metaspace_used_mib,byte_arrays_mib,int_arrays_mib,baked_quads_mib,emi_item_stacks_mib,item_stacks_mib,max_client_mib,joined_at_sec,run_dir
reduced_baseline_top4,PASS,client_joined_server,8,,16384x16384x4,,9138.5,9003.6,2477.6,4728.0,3090.1,,662.6,326.1,171.5,0.0,0.5,9083.5,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/01_reduced_baseline_top4/client_join_probe/20260506-100516
reduced_repeat_top4,PASS,client_joined_server,8,,16384x16384x4,9156,9767.7,9625.7,3338.0,4964.0,4495.2,,746.8,405.9,171.5,93.2,57.2,8869.6,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/02_reduced_repeat_top4/client_join_probe/20260506-100759
reduced_no_ars,FAIL,server_fail,12,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/03_reduced_no_ars
reduced_no_bloodmagic,PASS,client_joined_server,14,,16384x8192x4,8137,10407.7,10261.8,3274.4,6176.0,5274.5,,737.1,397.7,166.5,87.8,53.7,9939.2,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/04_reduced_no_bloodmagic/client_join_probe/20260506-101049
reduced_no_malum,PASS,client_joined_server,12,,16384x16384x4,9271,10426.2,10278.4,3202.1,6148.0,5151.6,,680.2,395.6,166.9,88.1,54.8,8381.8,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/05_reduced_no_malum/client_join_probe/20260506-101336
reduced_no_occultism,PASS,client_joined_server,10,,16384x16384x4,9471,9858.7,9712.8,3337.4,4996.0,4316.1,,744.6,401.1,167.8,92.4,56.4,9037.2,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/06_reduced_no_occultism/client_join_probe/20260506-101620
reduced_no_quark,PASS,client_joined_server,12,,16384x16384x4,9111,11386.7,11240.7,3075.1,6640.0,4166.3,,672.8,397.6,167.7,83.4,48.1,8597.1,45,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/07_reduced_no_quark/client_join_probe/20260506-101903
reduced_no_supplementaries,PASS,client_joined_server,10,,16384x16384x4,8684,9592.7,9450.8,3273.8,4836.0,4170.0,,737.3,394.3,165.3,89.9,55.8,9016.6,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/08_reduced_no_supplementaries/client_join_probe/20260506-102145
reduced_no_amendments,PASS,client_joined_server,10,,16384x16384x4,9666,11728.0,11586.1,3251.9,6876.0,4858.5,,682.3,403.5,170.6,93.2,57.1,8809.6,47,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/09_reduced_no_amendments/client_join_probe/20260506-102430
reduced_no_farmers_delight,FAIL,server_fail,10,,,,,,,,,,,,,,,,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/10_reduced_no_farmers_delight
reduced_no_brewin_and_chewin,FAIL,client_fatal_log_signature,10,,2048x1024x4,,,,,,,,,,,,,5383.4,,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/11_reduced_no_brewin_and_chewin/client_join_probe/20260506-102720
reduced_no_delightful,PASS,client_joined_server,10,,16384x16384x4,8582,10747.4,10605.6,3158.4,5808.0,4655.0,,683.7,357.3,169.7,90.3,55.1,9156.7,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/12_reduced_no_delightful/client_join_probe/20260506-102827
reduced_no_my_nethers_delight,PASS,client_joined_server,10,,16384x16384x4,9328,9677.4,9535.7,3263.5,4908.0,4346.2,,744.6,359.4,170.2,92.5,56.8,9091.9,50,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/13_reduced_no_my_nethers_delight/client_join_probe/20260506-103114
reduced_no_veggies_delight,PASS,client_joined_server,10,,16384x16384x4,9361,9873.6,9731.9,3271.1,5004.0,4477.8,,745.2,360.4,170.8,92.7,56.8,9118.8,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/14_reduced_no_veggies_delight/client_join_probe/20260506-103400
reduced_no_ubes_delight,PASS,client_joined_server,10,,16384x16384x4,9167,9931.0,9785.3,3260.3,5140.0,4575.8,,743.5,359.1,169.1,91.6,56.4,9473.0,49,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/15_reduced_no_ubes_delight/client_join_probe/20260506-103647
reduced_no_undergarden_delight,PASS,client_joined_server,10,,16384x16384x4,9286,9815.4,9673.7,3287.0,5000.0,4279.0,,745.9,376.4,171.2,92.7,56.9,9452.3,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/16_reduced_no_undergarden_delight/client_join_probe/20260506-103936
reduced_no_chefs_delight,PASS,client_joined_server,10,,16384x16384x4,8922,9663.4,9521.4,3279.6,4964.0,4275.8,,745.9,362.6,171.5,93.2,57.3,8968.3,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/17_reduced_no_chefs_delight/client_join_probe/20260506-104223
reduced_no_collectors_reap,PASS,client_joined_server,10,,16384x16384x4,8721,10350.2,10208.4,3165.8,5716.0,3979.6,,682.8,356.6,169.2,92.2,56.6,8123.1,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/18_reduced_no_collectors_reap/client_join_probe/20260506-104509
reduced_no_corn_delight,PASS,client_joined_server,10,,16384x16384x4,8952,11298.5,11152.6,3189.1,6800.0,4215.8,,685.2,361.8,171.2,93.1,57.0,8603.9,51,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/19_reduced_no_corn_delight/client_join_probe/20260506-104756
reduced_no_ends_delight,PASS,client_joined_server,10,,16384x16384x4,8587,9662.6,9520.6,3272.2,4900.0,4236.7,,745.4,360.8,170.8,92.9,56.9,9050.7,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/20_reduced_no_ends_delight/client_join_probe/20260506-105047
reduced_no_farmers_respite,PASS,client_joined_server,10,,16384x16384x4,8890,11853.2,11707.4,3182.0,7000.0,4792.6,,684.0,361.6,170.8,93.0,57.1,9076.5,48,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/21_reduced_no_farmers_respite/client_join_probe/20260506-105333
reduced_no_oceans_delight,PASS,client_joined_server,10,,16384x16384x4,11300,11615.5,11473.6,3188.0,6756.0,5299.3,,685.0,361.9,171.2,93.2,57.1,8825.3,55,/home/gerald/obelisks/docs/ram_profile/joined_cross_section_reduced_stack_20260506/22_reduced_no_oceans_delight/client_join_probe/20260506-105618
