cycle,start_ts,end_ts,status,status_reason,done_seconds,server_port,server_pid,client_pid,client_status,joined,log_file
1,2026-05-05T11:59:32Z,2026-05-05T12:03:03Z,OK_WITH_CLIENT,server_done_client_joined,53.893,25566,596947,597713,running,1,harness-logs/cycle-001.log
2,2026-05-05T12:03:03Z,2026-05-05T12:06:34Z,OK_WITH_CLIENT,server_done_client_joined,54.779,25567,598609,599403,running,1,harness-logs/cycle-002.log
